Gross Commit Indicator,Financial Aid Intent,Scholarship,Direct Legacy? (parent),Ethnic Background,First Gen to College,Permanent Region,GPA,HS Class Size,Campus Visit Indicator?,Interview?,Academic Interest,Sex,Level of Financial Need,Reader Academic Rating,id
1,FAY,DIR,0,Hispanic/Latino,1,CA,3.76,603.0,1,1,Diplomacy & World Affairs,M,"Very High OxyS - $46,000 +",2,5263
1,FAN,DIR,0,White,0,CA,3.74,468.0,0,0,Undecided,M,"Low OxyS - $1 to $19,999",2,8453
0,FAN,PRES,0,White,0,WA,4.0,74.0,1,0,Economics,F,"Medium OxyS - $20,000 - $29,999",1,1928
0,FAY,,0,White,1,CA,3.85,,0,0,Psychology,F,No OxyS - $0,3,1885
1,FAY,NO,0,White,0,CA,3.61,470.0,1,0,Computer Science,F,"Medium OxyS - $20,000 - $29,999",4,9525
0,FAY,TRST,0,Asian,0,CA,3.95,,1,0,Mathematics,M,"Low OxyS - $1 to $19,999",1,1436
0,FAY,NO,0,"Asian, White",0,HI,3.78,427.0,0,0,Chemistry,M,"Very High OxyS - $46,000 +",1,2766
1,FAY,,0,"Asian, White",0,NJ,,,1,0,Cognitive Science,F,"High OxyS - $30,000 to $45,999",2,8240
0,FAY,TRST,0,White,0,CO,3.83,478.0,1,1,Politics,F,"Low OxyS - $1 to $19,999",1,14
0,FAN,TRST,0,White,0,WA,3.98,437.0,0,0,Mathematics,M,"Low OxyS - $1 to $19,999",1,3537
0,FAY,,0,Asian,0,CA,3.95,,0,0,English,F,"Low OxyS - $1 to $19,999",2,9249
0,FAN,,0,,0,NY,3.72,,0,0,Biology,M,No OxyS - $0,1,8649
0,FAN,DIR,0,,0,WA,3.53,40.0,1,0,Music,M,"Low OxyS - $1 to $19,999",2,8640
0,FAN,NO,0,"Asian, White",0,MI,3.54,207.0,0,0,Independent Pattern of Study,F,No OxyS - $0,4,5773
0,FAY,DIR,0,Asian,1,CA,3.72,443.0,1,1,Economics,F,"Very High OxyS - $46,000 +",3,9582
0,FAY,PRES,0,White,1,MA,4.0,381.0,0,0,American Studies,F,"Medium OxyS - $20,000 - $29,999",1,3403
0,FAY,PRES,0,,0,CA,4.0,503.0,0,0,Biochemistry,F,"Low OxyS - $1 to $19,999",1,1330
0,FAN,TRST,0,White,0,TX,3.9,145.0,1,0,Diplomacy & World Affairs,F,"Medium OxyS - $20,000 - $29,999",1,3956
1,FAY,,0,White,1,CA,3.57,,1,1,Mathematics,F,"Low OxyS - $1 to $19,999",2,2950
0,FAY,,1,White,0,CA,3.6,,1,0,Urban and Environmental Policy,F,"Low OxyS - $1 to $19,999",4,1034
0,FAN,NO,0,White,0,NV,3.52,360.0,1,0,Psychology,F,No OxyS - $0,3,1012
0,FAY,NO,0,Black or African American,0,CA,3.35,750.0,1,0,Kinesiology,M,"High OxyS - $30,000 to $45,999",4,109
1,FAN,DIR,0,White,0,CA,3.98,53.0,1,0,Engineering Combined Degree Program,M,"Low OxyS - $1 to $19,999",1,9353
0,FAN,TRST,0,White,0,CA,3.81,50.0,1,0,English,F,"Low OxyS - $1 to $19,999",1,7808
0,FAY,NO,0,White,0,CT,3.37,300.0,0,0,Neuroscience,F,Unknown - In Progress,3,3135
1,FAY,,0,"American Indian or Alaska Native, White",0,CA,3.61,,1,0,Economics,M,"Low OxyS - $1 to $19,999",4,5974
0,FAN,NO,0,White,0,TX,3.31,103.0,1,0,Pre-law Advising,F,No OxyS - $0,4,7298
0,FAY,PRES,0,Asian,0,CA,4.0,726.0,0,0,Biology,F,"High OxyS - $30,000 to $45,999",1,1572
1,FAY,NO,0,Hispanic/Latino,1,CA,3.59,240.0,1,0,Biology,F,"High OxyS - $30,000 to $45,999",4,7537
0,FAY,NO,0,White,0,CA,3.8,640.0,0,0,Psychology,F,"Low OxyS - $1 to $19,999",2,9216
0,FAY,LDRS,0,"Hispanic/Latino, White",0,MD,3.84,538.0,1,0,Psychology,F,"Medium OxyS - $20,000 - $29,999",1,5744
1,FAY,NO,0,Black or African American,0,MD,3.43,110.0,1,0,Politics,F,"Very High OxyS - $46,000 +",3,5198
0,FAN,NO,0,White,0,HI,3.7,432.0,1,1,Economics,M,No OxyS - $0,3,6805
0,FAY,DIR,0,"Asian, White",0,CA,3.77,,0,0,Diplomacy & World Affairs,F,"High OxyS - $30,000 to $45,999",2,6148
0,FAN,TRST,0,,0,WA,4.0,455.0,1,1,Environmental Science,M,"Low OxyS - $1 to $19,999",1,1582
0,FAN,DIR,0,Asian,0,CA,3.92,660.0,1,0,Public Health,F,"Low OxyS - $1 to $19,999",2,1362
0,FAN,NO,0,White,0,CA,3.68,46.0,1,0,Philosophy,F,No OxyS - $0,5,1822
0,FAY,NO,0,"Black or African American, Hispanic/Latino, White",0,MD,3.5,475.0,0,0,Computer Science,F,"Low OxyS - $1 to $19,999",2,5125
0,FAN,MBS,0,"Hispanic/Latino, White",0,CA,4.0,541.0,0,0,Economics,F,"Medium OxyS - $20,000 - $29,999",1,5835
0,FAY,TRST,0,"Asian, Native Hawaiian or Other Pacific Islander, White",0,CA,3.97,69.0,1,1,Biology,M,"High OxyS - $30,000 to $45,999",1,3336
0,FAN,NO,0,White,0,CA,4.0,217.0,1,0,Politics,F,No OxyS - $0,4,1258
0,FAY,NO,0,"Black or African American, Hispanic/Latino",0,CA,4.0,515.0,0,0,Group Language (Foreign Languages),F,"High OxyS - $30,000 to $45,999",2,5213
0,FAY,,0,Asian,0,CA,3.66,,1,0,Biology,F,"Low OxyS - $1 to $19,999",4,3236
0,FAY,MBS,0,White,0,NY,4.0,,0,0,Physics,M,"Very High OxyS - $46,000 +",1,359
0,FAY,DIR,0,White,0,OR,3.86,353.0,1,1,Music,M,"Low OxyS - $1 to $19,999",2,9291
0,FAN,NO,0,Asian,0,CA,3.73,533.0,0,0,Sociology,F,No OxyS - $0,3,4181
0,FAY,NO,0,White,0,CA,3.2,646.0,1,0,Interdisciplinary Writing,F,"Low OxyS - $1 to $19,999",4,4023
0,FAY,PRES,0,White,0,MA,3.89,311.0,1,1,Psychology,M,"High OxyS - $30,000 to $45,999",1,1318
0,FAN,MBS,0,White,0,GA,3.93,35.0,1,1,Environmental Science,F,"Medium OxyS - $20,000 - $29,999",1,7782
0,FAY,DEAN,0,Asian,0,CA,3.92,,0,0,Chemistry,F,"High OxyS - $30,000 to $45,999",1,4921
0,FAY,NO,0,Asian,0,OR,3.77,77.0,1,1,Biology,F,No OxyS - $0,3,1074
0,FAY,NO,0,"Hispanic/Latino, White",0,MA,3.61,498.0,1,0,Pre-law Advising,F,"Low OxyS - $1 to $19,999",3,5721
0,FAY,NO,0,White,0,CA,3.39,715.0,1,0,Economics,M,No OxyS - $0,4,2818
0,FAY,DIR,0,White,0,WA,4.0,390.0,1,0,Biology,F,"Low OxyS - $1 to $19,999",2,6429
0,FAY,PRES,0,White,0,TX,3.85,252.0,1,1,Mathematics,F,"Low OxyS - $1 to $19,999",1,4322
0,FAY,DIR,0,White,0,CA,3.96,90.0,0,0,Chemistry,F,"High OxyS - $30,000 to $45,999",2,232
0,FAN,DIR,0,White,0,DC,3.47,78.0,1,1,English,F,"Low OxyS - $1 to $19,999",2,2762
0,FAN,NO,0,White,0,MA,3.65,382.0,0,0,Psychology,F,No OxyS - $0,3,2886
0,FAY,GIRL,0,White,0,CA,4.0,,0,1,Diplomacy & World Affairs,F,"Low OxyS - $1 to $19,999",1,6709
0,FAY,DIR,0,Asian,0,WA,4.0,428.0,0,0,Engineering Combined Degree Program,F,"Low OxyS - $1 to $19,999",2,4145
0,FAY,NO,0,White,0,CA,3.89,435.0,1,0,Psychology,M,"High OxyS - $30,000 to $45,999",3,2501
0,FAY,,0,Asian,0,CA,3.67,,0,0,Biology,F,"Low OxyS - $1 to $19,999",3,9247
1,FAY,NO,0,"Hispanic/Latino, White",0,NM,3.71,41.0,0,0,Diplomacy & World Affairs,F,"Low OxyS - $1 to $19,999",3,2028
0,FAN,PRES,0,White,0,CA,4.0,,0,0,English,M,"Low OxyS - $1 to $19,999",1,1289
0,FAY,,0,Asian,1,CA,3.68,,0,0,Psychology,F,"Low OxyS - $1 to $19,999",2,1555
0,FAY,NO,0,"Hispanic/Latino, White",0,NV,3.85,49.0,0,0,Theater,F,No OxyS - $0,3,762
0,FAN,NO,0,White,0,MA,3.57,182.0,1,0,Diplomacy & World Affairs,F,No OxyS - $0,2,2500
0,FAY,DIR,0,Asian,0,AZ,3.94,69.0,0,0,Economics,M,"Low OxyS - $1 to $19,999",2,7034
0,FAY,TRST,0,White,0,CA,4.0,,1,0,Economics,M,"Low OxyS - $1 to $19,999",1,7984
0,FAY,NO,0,White,0,CA,3.61,360.0,0,0,Psychology,M,No OxyS - $0,3,5398
0,FAN,NO,0,White,0,CT,3.76,142.0,0,0,Diplomacy & World Affairs,F,No OxyS - $0,3,5891
0,FAY,PRES,0,White,0,WA,3.75,360.0,0,0,Urban and Environmental Policy,F,"Medium OxyS - $20,000 - $29,999",1,6421
1,FAY,NO,0,White,0,CA,3.6,96.0,1,0,Biology,F,"Low OxyS - $1 to $19,999",4,3926
0,FAY,DIR,0,Hispanic/Latino,0,CA,3.77,647.0,1,0,Latino(a) and Latin American Studies,M,"Medium OxyS - $20,000 - $29,999",2,2442
1,FAY,PRES,0,White,0,WA,4.0,301.0,0,0,Physics,F,"High OxyS - $30,000 to $45,999",1,9155
0,FAY,NO,0,Black or African American,0,NJ,3.6,53.0,1,0,Urban and Environmental Policy,F,"High OxyS - $30,000 to $45,999",4,7168
1,FAY,NO,0,"American Indian or Alaska Native, Black or African American, White",0,TX,3.33,62.0,1,0,Computer Science,M,No OxyS - $0,5,5931
0,FAY,DIR,1,White,0,CA,3.93,175.0,1,0,Theater,F,"Low OxyS - $1 to $19,999",2,6293
0,FAY,TRST,0,White,0,VA,3.85,720.0,0,0,Politics,F,"Low OxyS - $1 to $19,999",1,6538
0,FAY,NO,0,"Hispanic/Latino, White",0,CA,4.0,141.0,0,0,Physics,F,"Medium OxyS - $20,000 - $29,999",3,7231
0,FAY,DEAN,0,Asian,0,CA,3.77,,1,0,English,F,"High OxyS - $30,000 to $45,999",1,4469
0,FAY,NO,0,White,0,CA,3.5,403.0,0,0,Biology,F,No OxyS - $0,3,7047
0,FAY,DIR,0,"Asian, White",0,TX,3.87,626.0,1,1,Psychology,F,"Low OxyS - $1 to $19,999",2,3742
0,FAY,NO,0,Asian,0,CA,3.27,622.0,0,0,Pre-health Professions,F,"Very High OxyS - $46,000 +",4,3998
0,FAN,NO,0,White,0,CA,3.94,94.0,1,0,Critical Theory & Social Justice,F,No OxyS - $0,2,2545
0,FAY,DIR,0,"Asian, White",0,CA,3.9,425.0,0,0,Linguistics,F,"Medium OxyS - $20,000 - $29,999",2,3756
0,FAY,NO,0,"Black or African American, Hispanic/Latino, White",0,TX,3.71,80.0,1,0,Neuroscience,F,"Low OxyS - $1 to $19,999",4,7233
1,FAY,NO,0,White,0,CA,3.41,484.0,1,0,Politics,M,"Low OxyS - $1 to $19,999",3,6309
0,FAY,DEAN,0,,0,CA,3.58,,1,0,Computer Science,M,"Medium OxyS - $20,000 - $29,999",1,3978
0,FAY,TRST,0,White,0,WA,3.92,456.0,1,1,Philosophy,M,"Low OxyS - $1 to $19,999",1,7057
0,FAY,DIR,0,White,0,CA,3.75,99.0,0,0,Politics,M,"Very High OxyS - $46,000 +",2,4972
0,FAY,NO,0,"Black or African American, White",1,CA,3.46,279.0,1,0,Pre-health Professions,M,"High OxyS - $30,000 to $45,999",4,1717
0,FAY,DIR,0,Asian,0,CA,3.5,609.0,1,0,Sociology,F,"High OxyS - $30,000 to $45,999",2,3344
0,FAY,MBS,0,White,0,VA,4.0,9.0,1,0,Group Language (Foreign Languages),F,"Medium OxyS - $20,000 - $29,999",1,8020
0,FAY,MBS,0,White,0,TN,3.92,,0,0,Art History,F,"Medium OxyS - $20,000 - $29,999",1,826
0,FAY,MBS,0,White,0,NY,3.95,209.0,1,1,Biology,M,"High OxyS - $30,000 to $45,999",1,8058
0,FAY,NO,0,Asian,0,CA,3.68,240.0,0,0,Diplomacy & World Affairs,M,"Low OxyS - $1 to $19,999",3,9609
0,FAY,DIR,0,White,0,CA,4.0,,1,0,Cognitive Science,F,"Low OxyS - $1 to $19,999",2,2105
0,FAN,NO,0,"Asian, White",0,TX,3.53,634.0,0,0,Neuroscience,M,No OxyS - $0,3,3722
0,FAY,NO,0,White,0,WA,4.0,270.0,0,0,Mathematics,F,"Low OxyS - $1 to $19,999",2,4076
0,FAY,DIR,0,White,0,CT,3.83,81.0,1,0,Diplomacy & World Affairs,F,"Low OxyS - $1 to $19,999",2,2979
0,FAY,PRES,0,Asian,0,CO,4.0,43.0,0,1,Physics: 3-2 Engineering Program,F,"Low OxyS - $1 to $19,999",1,8426
0,FAY,NO,0,White,0,NY,3.54,645.0,0,0,Independent Pattern of Study,F,"Medium OxyS - $20,000 - $29,999",3,26
1,FAY,NO,0,White,0,FL,3.91,178.0,1,1,Pre-health Professions,F,"Low OxyS - $1 to $19,999",2,4828
0,FAY,,0,White,0,CA,3.86,,1,0,Biology,M,"Low OxyS - $1 to $19,999",2,2172
0,FAN,TRST,0,White,0,CA,3.8,77.0,1,1,Neuroscience,F,"Low OxyS - $1 to $19,999",1,8208
0,FAN,NO,0,White,0,FL,3.93,142.0,0,0,Economics,M,No OxyS - $0,2,1643
0,FAN,LDRS,0,White,0,CA,3.98,356.0,0,0,Economics,M,"Low OxyS - $1 to $19,999",2,6269
0,FAN,NO,0,White,0,IL,3.4,486.0,1,0,Politics,M,No OxyS - $0,3,3017
0,FAN,,0,Asian,0,CA,3.64,,0,0,Politics,M,No OxyS - $0,3,1994
0,FAY,DIR,0,Asian,1,NJ,3.81,204.0,1,0,Computer Science,M,"Very High OxyS - $46,000 +",2,6214
0,FAY,,0,White,0,CA,3.7,,0,0,Pre-health Professions,M,"Low OxyS - $1 to $19,999",5,2937
0,FAN,DIR,0,White,0,OR,4.0,309.0,0,0,Biochemistry,M,"Low OxyS - $1 to $19,999",2,2810
0,FAY,MBS,0,"Black or African American, White",1,CA,3.92,461.0,0,0,Politics,F,"High OxyS - $30,000 to $45,999",1,4499
0,FAY,LDRS,0,Black or African American,1,CA,3.79,,1,0,Urban and Environmental Policy,F,"Low OxyS - $1 to $19,999",2,97
0,FAY,NO,0,White,0,CA,3.48,767.0,1,0,Economics,M,"High OxyS - $30,000 to $45,999",5,7427
0,FAN,NO,0,"Asian, White",0,NM,3.36,66.0,1,0,Neuroscience,M,No OxyS - $0,3,5032
0,FAY,TRST,0,White,0,CA,4.0,,0,0,History,M,"Low OxyS - $1 to $19,999",1,1684
0,FAY,,0,"Black or African American, Hispanic/Latino, White",1,NY,3.6,,0,0,Urban and Environmental Policy,F,"High OxyS - $30,000 to $45,999",3,3173
0,FAY,,0,Hispanic/Latino,0,CA,3.5,,0,0,Biology,M,"High OxyS - $30,000 to $45,999",2,7017
0,FAN,NO,0,White,0,UT,4.0,394.0,0,0,Biology,F,No OxyS - $0,3,4028
1,FAY,NO,0,Black or African American,1,NY,3.34,65.0,1,0,"Media, Arts and Culture",M,"Very High OxyS - $46,000 +",4,119
0,FAY,,0,Hispanic/Latino,1,CA,3.89,,0,0,Pre-health Professions,F,"High OxyS - $30,000 to $45,999",2,7471
0,FAY,,0,"Black or African American, Hispanic/Latino",0,NM,3.63,,1,1,Physics: 3-2 Engineering Program,M,"Low OxyS - $1 to $19,999",3,5517
0,FAY,NO,0,White,0,MD,3.3,500.0,0,0,Diplomacy & World Affairs,F,"Low OxyS - $1 to $19,999",3,2066
1,FAY,NO,0,White,0,WA,3.92,364.0,1,0,English,F,"Low OxyS - $1 to $19,999",3,9532
0,FAY,,0,Asian,0,CA,3.54,,0,0,Linguistics,F,"High OxyS - $30,000 to $45,999",2,4436
0,FAY,PRES,0,"Asian, White",0,CA,4.0,,0,1,Pre-law Advising,F,"Low OxyS - $1 to $19,999",1,8790
1,FAY,NO,0,Asian,0,CA,3.0,537.0,1,0,Politics,M,No OxyS - $0,5,6700
0,FAN,NO,0,White,0,TX,3.73,123.0,1,1,Politics,M,No OxyS - $0,2,3137
0,FAY,MBS,0,White,0,MI,4.0,134.0,0,0,English,M,"Very High OxyS - $46,000 +",1,2502
0,FAY,DIR,0,White,1,CA,3.97,750.0,1,0,Urban and Environmental Policy,F,"Low OxyS - $1 to $19,999",2,2144
0,FAY,MBS,0,"Asian, White",0,CA,3.96,,0,0,Diplomacy & World Affairs,F,"High OxyS - $30,000 to $45,999",1,6965
0,FAY,,0,White,0,CA,3.92,,0,0,Urban and Environmental Policy,M,"Low OxyS - $1 to $19,999",3,1768
0,FAN,,0,Hispanic/Latino,1,CA,3.57,,0,0,Music,M,No OxyS - $0,3,2528
0,FAY,DIR,0,Asian,0,HI,3.84,,1,0,Biology,M,"Low OxyS - $1 to $19,999",2,1361
0,FAN,NO,0,White,0,NY,3.2,55.0,0,0,Politics,M,No OxyS - $0,3,3197
0,FAY,,0,Black or African American,0,IL,3.93,,1,0,Psychology,F,"Very High OxyS - $46,000 +",3,8036
0,FAY,,0,White,0,CA,3.88,,1,0,Physics: 3-2 Engineering Program,M,"Low OxyS - $1 to $19,999",2,8728
0,FAN,NO,0,Asian,0,Capital Territory,3.68,67.0,0,0,Politics,F,Unknown - In Progress,4,3378
0,FAY,NO,0,Asian,0,CA,3.22,90.0,1,0,Kinesiology,F,"Low OxyS - $1 to $19,999",4,1347
0,FAY,TRST,0,Asian,0,WA,4.0,428.0,1,0,Public Health,F,Unknown - In Progress,1,9392
0,FAY,,0,"Asian, White",0,CA,3.43,,1,0,Mathematics,M,"Low OxyS - $1 to $19,999",3,33
0,FAN,PRES,0,White,0,WA,4.0,,1,0,Biochemistry,F,"Low OxyS - $1 to $19,999",1,8977
0,FAY,LDRS,0,Hispanic/Latino,1,AZ,3.92,602.0,1,0,Sociology,F,"Very High OxyS - $46,000 +",3,8593
0,FAN,MBS,0,White,0,CA,3.96,72.0,0,0,Engineering Combined Degree Program,M,"Medium OxyS - $20,000 - $29,999",1,5527
0,FAY,TRST,0,Asian,0,HI,4.0,322.0,0,0,Politics,M,"High OxyS - $30,000 to $45,999",1,5072
0,FAY,NO,0,White,0,MN,3.9,528.0,0,0,Engineering Combined Degree Program,M,"Low OxyS - $1 to $19,999",2,2923
0,FAY,DIR,0,White,0,CO,3.81,152.0,1,0,Biology,F,"Low OxyS - $1 to $19,999",2,6868
0,FAY,DIR,0,Asian,0,CA,3.83,297.0,0,0,Geology,F,"Low OxyS - $1 to $19,999",2,6606
0,FAY,NO,0,Black or African American,0,TX,3.5,1440.0,0,0,Psychology,F,"Medium OxyS - $20,000 - $29,999",3,242
0,FAN,PRES,0,White,0,NY,3.95,228.0,1,0,Mathematics,F,"Low OxyS - $1 to $19,999",1,6929
0,FAY,NO,0,White,0,CA,3.7,350.0,1,1,Biology,M,No OxyS - $0,2,4062
0,FAY,DIR,0,"Black or African American, White",0,OR,3.71,324.0,1,1,Group Language (Foreign Languages),F,"Low OxyS - $1 to $19,999",2,2363
0,FAY,,0,"Asian, White",0,CA,4.0,,0,0,Economics,M,"Low OxyS - $1 to $19,999",4,1903
0,FAY,NO,0,"Black or African American, White",0,TN,3.07,223.0,0,0,Pre-health Professions,F,"Very High OxyS - $46,000 +",3,3863
0,FAN,NO,0,White,0,NY,3.71,117.0,1,0,Sociology,F,No OxyS - $0,3,3439
0,FAY,DIR,0,White,1,HI,3.97,32.0,0,0,Pre-law Advising,F,"Very High OxyS - $46,000 +",2,8979
0,FAY,NO,0,White,0,LA,3.57,208.0,1,0,Diplomacy & World Affairs,M,"Low OxyS - $1 to $19,999",3,8495
1,FAN,NO,0,White,0,CA,3.21,94.0,1,0,Urban and Environmental Policy,F,No OxyS - $0,4,3332
0,FAY,NO,0,White,0,CA,3.77,89.0,1,0,Kinesiology,M,Unknown - In Progress,3,226
0,FAY,NO,0,"Hispanic/Latino, White",0,CA,3.21,361.0,0,0,"Media, Arts and Culture",M,"Low OxyS - $1 to $19,999",3,9157
0,FAN,NO,0,White,0,CA,3.96,15.0,1,0,Diplomacy & World Affairs,M,No OxyS - $0,2,4825
1,FAY,,0,Asian,0,CA,3.38,,1,0,Politics,F,"Medium OxyS - $20,000 - $29,999",3,9387
0,FAN,DIR,0,"Asian, White",0,CA,4.0,96.0,0,0,Biology,F,"Low OxyS - $1 to $19,999",2,2158
0,FAY,TRST,0,,0,CA,3.98,237.0,0,0,Biology,M,"Low OxyS - $1 to $19,999",1,2461
1,FAY,NO,0,Asian,0,CA,3.71,677.0,1,0,Biology,F,"Low OxyS - $1 to $19,999",3,8607
0,FAN,NO,0,"Asian, White",0,NY,3.6,130.0,1,0,Critical Theory & Social Justice,F,No OxyS - $0,3,7816
0,FAN,DIR,0,White,0,CT,3.84,135.0,1,1,Urban and Environmental Policy,M,"Low OxyS - $1 to $19,999",2,7129
0,FAN,NO,0,White,0,CO,3.86,116.0,1,0,Economics,M,No OxyS - $0,3,7650
0,FAY,PRES,0,White,0,CA,4.0,328.0,1,0,Engineering Combined Degree Program,M,"Medium OxyS - $20,000 - $29,999",1,6589
0,FAY,TRST,0,Asian,1,CA,4.0,525.0,0,0,Physics: 3-2 Engineering Program,M,"High OxyS - $30,000 to $45,999",1,2132
0,FAY,,0,Black or African American,0,AR,3.24,,0,0,Politics,M,"Very High OxyS - $46,000 +",4,3443
0,FAY,,0,White,0,CA,3.54,,0,0,Psychology,F,No OxyS - $0,3,4029
0,FAN,PRES,0,White,0,MD,3.29,436.0,0,0,Urban and Environmental Policy,M,"High OxyS - $30,000 to $45,999",1,7934
0,FAY,PRES,0,"Black or African American, Hispanic/Latino",0,CA,3.95,191.0,0,0,Engineering Combined Degree Program,M,"Medium OxyS - $20,000 - $29,999",1,6859
0,FAY,PRES,0,White,1,VT,3.97,223.0,1,0,Pre-health Professions,F,"Very High OxyS - $46,000 +",1,2005
0,FAY,DIR,0,Asian,0,WA,3.75,,1,0,Mathematics,M,"Low OxyS - $1 to $19,999",2,1604
0,FAY,NO,0,White,0,Beijing,3.5,118.0,1,1,Diplomacy & World Affairs,F,No OxyS - $0,3,9042
1,FAY,DIR,0,White,0,CT,3.62,72.0,1,1,Physics: 3-2 Engineering Program,M,"High OxyS - $30,000 to $45,999",2,525
0,FAY,,0,White,0,WA,3.38,,1,0,Economics,M,"Low OxyS - $1 to $19,999",4,9047
0,FAY,NO,0,White,0,OR,3.81,80.0,0,0,Psychology,F,No OxyS - $0,3,914
0,FAY,,0,Asian,0,CA,3.29,,1,1,Diplomacy & World Affairs,F,No OxyS - $0,4,8092
1,FAY,NO,0,White,0,CA,3.96,133.0,1,0,History,F,"High OxyS - $30,000 to $45,999",3,8839
0,FAY,NO,0,White,0,IL,3.26,543.0,1,0,Environmental Science,F,No OxyS - $0,4,2732
0,FAY,NO,0,"Hispanic/Latino, White",1,CA,3.63,397.0,0,0,Pre-health Professions,F,"High OxyS - $30,000 to $45,999",3,370
0,FAY,NO,1,White,0,CA,3.54,45.0,1,0,Pre-law Advising,F,"Low OxyS - $1 to $19,999",3,5747
0,FAY,TRST,0,Asian,0,CA,3.92,,0,0,Biology,F,"High OxyS - $30,000 to $45,999",1,1459
0,FAY,DIR,0,White,0,NY,3.83,158.0,1,0,Independent Pattern of Study,F,"Low OxyS - $1 to $19,999",2,3410
0,FAY,DIR,0,Asian,0,CA,3.79,,0,0,Politics,F,"Medium OxyS - $20,000 - $29,999",2,7811
0,FAY,DIR,0,"Hispanic/Latino, White",0,TX,4.0,76.0,1,0,Pre-health Professions,F,"High OxyS - $30,000 to $45,999",2,3051
0,FAN,DIR,0,Asian,0,WA,3.9,,1,0,Biology,F,"Low OxyS - $1 to $19,999",2,8087
0,FAY,NO,0,Hispanic/Latino,0,CA,3.38,71.0,1,0,Economics,M,"High OxyS - $30,000 to $45,999",4,7526
1,FAY,,0,White,0,CA,3.44,,0,0,Economics,M,"Low OxyS - $1 to $19,999",5,870
0,FAY,,0,"Asian, White",0,CA,3.52,,1,0,Physics,F,"Medium OxyS - $20,000 - $29,999",4,4118
0,FAY,NO,0,"Asian, White",0,CA,3.28,597.0,1,1,Economics,M,No OxyS - $0,4,4969
0,FAY,DIR,0,White,0,WA,3.72,263.0,0,0,Latino(a) and Latin American Studies,F,"High OxyS - $30,000 to $45,999",2,4842
0,FAY,,0,White,0,FL,3.87,,0,0,East Asian Studies,F,"Medium OxyS - $20,000 - $29,999",3,5864
0,FAY,NO,0,"Hispanic/Latino, White",0,FL,3.45,70.0,0,0,Politics,F,"Very High OxyS - $46,000 +",3,3569
0,FAY,NO,0,Asian,0,WA,3.44,140.0,0,0,English,F,"Low OxyS - $1 to $19,999",3,4435
0,FAN,DIR,0,White,0,CO,3.88,565.0,1,0,Politics,M,"Low OxyS - $1 to $19,999",2,4641
0,FAY,,0,Hispanic/Latino,0,CA,3.88,,0,0,Pre-health Professions,M,"High OxyS - $30,000 to $45,999",2,2850
0,FAY,DIR,0,White,0,CA,3.84,214.0,1,1,Biology,F,"High OxyS - $30,000 to $45,999",2,861
0,FAY,NO,0,White,0,CA,3.85,201.0,1,0,Independent Pattern of Study,M,"Low OxyS - $1 to $19,999",4,4291
0,FAY,,0,Asian,1,GA,3.65,,0,0,English,F,"Medium OxyS - $20,000 - $29,999",2,4963
0,FAY,DIR,0,White,0,CA,3.65,90.0,1,1,"Media, Arts and Culture",F,"Low OxyS - $1 to $19,999",2,4299
0,FAN,,1,White,0,Brussels-Capitale,3.86,,1,0,Diplomacy & World Affairs,F,No OxyS - $0,2,574
